"","artist","album","year","track_n","line","track_title","word","song_word_count","sentiment"
"1","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,1,"Blinded by the Light","madman",577,"anger"
"2","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,1,"Blinded by the Light","madman",577,"fear"
"3","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,1,"Blinded by the Light","madman",577,"negative"
"4","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,2,"Blinded by the Light","dumps",577,"anger"
"5","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,2,"Blinded by the Light","dumps",577,"negative"
"6","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,2,"Blinded by the Light","dumps",577,"sadness"
"7","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,2,"Blinded by the Light","mumps",577,"negative"
"8","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,3,"Blinded by the Light","shoulder",577,"positive"
"9","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,3,"Blinded by the Light","shoulder",577,"trust"
"10","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,3,"Blinded by the Light","older",577,"sadness"
"11","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,4,"Blinded by the Light","merry",577,"joy"
"12","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,4,"Blinded by the Light","merry",577,"positive"
"13","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,6,"Blinded by the Light","ground",577,"trust"
"14","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,7,"Blinded by the Light","hot",577,"anger"
"15","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,7,"Blinded by the Light","shot",577,"anger"
"16","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,7,"Blinded by the Light","shot",577,"fear"
"17","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,7,"Blinded by the Light","shot",577,"negative"
"18","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,7,"Blinded by the Light","shot",577,"sadness"
"19","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,7,"Blinded by the Light","shot",577,"surprise"
"20","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,7,"Blinded by the Light","hot",577,"anger"
"21","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,9,"Blinded by the Light","young",577,"anticipation"
"22","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,9,"Blinded by the Light","young",577,"joy"
"23","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,9,"Blinded by the Light","young",577,"positive"
"24","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,9,"Blinded by the Light","young",577,"surprise"
"25","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,9,"Blinded by the Light","finally",577,"anticipation"
"26","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,9,"Blinded by the Light","finally",577,"disgust"
"27","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,9,"Blinded by the Light","finally",577,"joy"
"28","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,9,"Blinded by the Light","finally",577,"positive"
"29","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,9,"Blinded by the Light","finally",577,"surprise"
"30","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,9,"Blinded by the Light","finally",577,"trust"
"31","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,9,"Blinded by the Light","found",577,"joy"
"32","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,9,"Blinded by the Light","found",577,"positive"
"33","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,9,"Blinded by the Light","found",577,"trust"
"34","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,9,"Blinded by the Light","tender",577,"joy"
"35","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,9,"Blinded by the Light","tender",577,"positive"
"36","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,9,"Blinded by the Light","tender",577,"trust"
"37","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,9,"Blinded by the Light","lover",577,"anticipation"
"38","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,9,"Blinded by the Light","lover",577,"joy"
"39","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,9,"Blinded by the Light","lover",577,"positive"
"40","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,9,"Blinded by the Light","lover",577,"trust"
"41","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,10,"Blinded by the Light","forget",577,"negative"
"42","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,10,"Blinded by the Light","save",577,"joy"
"43","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,10,"Blinded by the Light","save",577,"positive"
"44","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,10,"Blinded by the Light","save",577,"trust"
"45","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,11,"Blinded by the Light","blinded",577,"negative"
"46","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,13,"Blinded by the Light","blinded",577,"negative"
"47","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,15,"Blinded by the Light","brimstone",577,"anger"
"48","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,15,"Blinded by the Light","brimstone",577,"fear"
"49","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,15,"Blinded by the Light","brimstone",577,"negative"
"50","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,15,"Blinded by the Light","cyclone",577,"fear"
"51","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,15,"Blinded by the Light","cyclone",577,"negative"
"52","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,15,"Blinded by the Light","cyclone",577,"surprise"
"53","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,15,"Blinded by the Light","stone",577,"anger"
"54","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,15,"Blinded by the Light","stone",577,"negative"
"55","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,16,"Blinded by the Light","hit",577,"anger"
"56","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,16,"Blinded by the Light","hit",577,"negative"
"57","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,16,"Blinded by the Light","expect",577,"anticipation"
"58","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,16,"Blinded by the Light","expect",577,"positive"
"59","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,16,"Blinded by the Light","expect",577,"surprise"
"60","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,16,"Blinded by the Light","expect",577,"trust"
"61","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,16,"Blinded by the Light","young",577,"anticipation"
"62","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,16,"Blinded by the Light","young",577,"joy"
"63","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,16,"Blinded by the Light","young",577,"positive"
"64","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,16,"Blinded by the Light","young",577,"surprise"
"65","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,16,"Blinded by the Light","dance",577,"joy"
"66","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,16,"Blinded by the Light","dance",577,"positive"
"67","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,16,"Blinded by the Light","dance",577,"trust"
"68","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,17,"Blinded by the Light","feeling",577,"anger"
"69","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,17,"Blinded by the Light","feeling",577,"anticipation"
"70","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,17,"Blinded by the Light","feeling",577,"disgust"
"71","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,17,"Blinded by the Light","feeling",577,"fear"
"72","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,17,"Blinded by the Light","feeling",577,"joy"
"73","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,17,"Blinded by the Light","feeling",577,"negative"
"74","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,17,"Blinded by the Light","feeling",577,"positive"
"75","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,17,"Blinded by the Light","feeling",577,"sadness"
"76","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,17,"Blinded by the Light","feeling",577,"surprise"
"77","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,17,"Blinded by the Light","feeling",577,"trust"
"78","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,17,"Blinded by the Light","romance",577,"anticipation"
"79","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,17,"Blinded by the Light","romance",577,"fear"
"80","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,17,"Blinded by the Light","romance",577,"joy"
"81","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,17,"Blinded by the Light","romance",577,"positive"
"82","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,17,"Blinded by the Light","romance",577,"sadness"
"83","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,17,"Blinded by the Light","romance",577,"surprise"
"84","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,17,"Blinded by the Light","romance",577,"trust"
"85","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,18,"Blinded by the Light","blinded",577,"negative"
"86","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,20,"Blinded by the Light","blinded",577,"negative"
"87","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,23,"Blinded by the Light","break",577,"surprise"
"88","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,24,"Blinded by the Light","chart",577,"trust"
"89","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,24,"Blinded by the Light","safe",577,"joy"
"90","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,24,"Blinded by the Light","safe",577,"positive"
"91","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,24,"Blinded by the Light","safe",577,"trust"
"92","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,26,"Blinded by the Light","hazard",577,"fear"
"93","Bruce Springsteen","Greetings From Asbury Park, N.J.",1973,1,26,"Blinded by the Light","hazard",577,"negative"
