"","track_title","album","year","sent_score","normalized_afinn_score"
"1","4th of July, Asbury Park (Sandy)","The Wild, the Innocent & the E Street Shuffle",1973,16,3.95061728395062
"2","57 Channels (And Nothin’ On)","Human Touch",1992,15,5.11945392491468
"3","Across the Border","The Ghost Of Tom Joad",1995,14,6.89655172413793
"4","Adam Raised a Cain","Darkness on the Edge of Town",1978,-5,-1.93798449612403
"5","Ain't Got You","Tunnel of Love",1987,22,8.69565217391304
"6","All I'm Thinkin' About","Devils Dust",2005,0,0
"7","All or Nothin’ at All","Human Touch",1992,18,8.03571428571429
"8","All That Heaven Will Allow","Tunnel of Love",1987,22,10.4265402843602
"9","All the Way Home","Devils Dust",2005,7,3.57142857142857
"10","American Skin (41 Shots)","High Hopes",2014,-69,-16.2735849056604
"11","Atlantic City","Nebraska",1982,-3,-0.934579439252336
"12","Backstreets","Born to Run",1975,-64,-14.5454545454545
"13","Badlands","Darkness on the Edge of Town",1978,14,3.65535248041775
"14","Balboa Park","The Ghost Of Tom Joad",1995,3,1.20481927710843
"15","Better Days","Lucky Town",1992,41,14.4366197183099
"16","Black Cowboys","Devils Dust",2005,10,2.56410256410256
"17","Blinded by the Light","Greetings From Asbury Park, N.J.",1973,19,3.29289428076256
"18","Bobby Jean","Born in the U.S.A.",1984,8,3.41880341880342
"19","Book of Dreams","Lucky Town",1992,2,1.15606936416185
"20","Born in the U.S.A.","Born in the U.S.A.",1984,0,0
"21","Born to Run","Born to Run",1975,13,3.81231671554252
"22","Brilliant Disguise","Tunnel of Love",1987,11,4.02930402930403
"23","Bring 'Em Home","We Shall Overcome: The Seeger Sessions",2006,19,6.08974358974359
"24","Buffalo Gals","We Shall Overcome: The Seeger Sessions",2006,1,0.505050505050505
"25","Burnin' Train","Letter to You",2020,0,0
"26","Cadillac Ranch","The River",1980,11,5.26315789473684
"27","Candy's Room","Darkness on the Edge of Town",1978,2,0.884955752212389
"28","Cautious Man","Tunnel of Love",1987,7,2.43055555555556
"29","Chasin' Wild Horses","Western Stars",2019,-3,-1.44230769230769
"30","Countin’ on a Miracle","The Rising",2002,87,27.1028037383178
"31","Cover Me","Born in the U.S.A.",1984,2,0.884955752212389
"32","Cross My Heart","Human Touch",1992,11,5.67010309278351
"33","Crush on You","The River",1980,-9,-3.82978723404255
"34","Dancing in the Dark","Born in the U.S.A.",1984,-18,-5.76923076923077
"35","Darkness on the Edge of Town","Darkness on the Edge of Town",1978,-22,-8.66141732283465
"36","Darlington County","Born in the U.S.A.",1984,15,3.5799522673031
"37","Death to My Hometown","Wrecking Ball",2012,-39,-17.4887892376682
"38","Devil's Arcade","Magic",2007,5,1.87265917602996
"39","Devils & Dust","Devils Dust",2005,22,6.85358255451713
"40","Does This Bus Stop at 82nd Street?","Greetings From Asbury Park, N.J.",1973,17,9.49720670391061
"41","Down in the Hole","High Hopes",2014,-18,-9.04522613065327
"42","Downbound Train","Born in the U.S.A.",1984,-3,-1.18110236220472
"43","Dream Baby Dream","High Hopes",2014,40,16.3265306122449
"44","Drive All Night","The River",1980,-4,-1.14613180515759
"45","Drive Fast (The Stuntman)","Western Stars",2019,-18,-7.17131474103586
"46","Dry Lightning","The Ghost Of Tom Joad",1995,0,0
"47","Easy Money","Wrecking Ball",2012,3,1.89873417721519
"48","Empty Sky","The Rising",2002,-15,-8.06451612903226
"49","Erie Canal","We Shall Overcome: The Seeger Sessions",2006,13,3.93939393939394
"50","Eyes on the Prize","We Shall Overcome: The Seeger Sessions",2006,1,0.403225806451613
"51","Factory","Darkness on the Edge of Town",1978,-8,-6.61157024793388
"52","Fade Away","The River",1980,-9,-2.52808988764045
"53","For You","Greetings From Asbury Park, N.J.",1973,9,1.6728624535316
"54","Frankie Fell in Love","High Hopes",2014,46,22.4390243902439
"55","Froggie Went a Courtin'","We Shall Overcome: The Seeger Sessions",2006,0,0
"56","Further On (Up the Road)","The Rising",2002,4,1.80995475113122
"57","Galveston Bay","The Ghost Of Tom Joad",1995,-2,-0.506329113924051
"58","Ghosts","Letter to You",2020,24,8.51063829787234
"59","Girls in Their Summer Clothes","Magic",2007,12,3.6697247706422
"60","Gloria's Eyes","Human Touch",1992,16,7.80487804878049
"61","Glory Days","Born in the U.S.A.",1984,37,10.5113636363636
"62","Good Eye","Working on a Dream",2009,7,5.98290598290598
"63","Growin' Up","Greetings From Asbury Park, N.J.",1973,-11,-4.04411764705882
"64","Gypsy Biker","Magic",2007,-3,-1.20481927710843
"65","Harry's Place (Ft. Tom Morello)","High Hopes",2014,-16,-4.65116279069767
"66","Heaven's Wall","High Hopes",2014,-4,-1.13960113960114
"67","Hello Sunshine","Western Stars",2019,17,12.5925925925926
"68","High Hopes","High Hopes",2014,86,28.3828382838284
"69","Highway 29","The Ghost Of Tom Joad",1995,-4,-1.6260162601626
"70","Highway Patrolman","Nebraska",1982,17,4
"71","Hitch Hikin'","Western Stars",2019,8,4.76190476190476
"72","House of a Thousand Guitars","Letter to You",2020,-9,-3.37078651685393
"73","How Can a Poor Man Stand Such Times and Live","We Shall Overcome: The Seeger Sessions",2006,-14,-6.08695652173913
"74","How Can I Keep from Singing?","We Shall Overcome: The Seeger Sessions",2006,3,3
"75","Human Touch","Human Touch",1992,-5,-1.74825174825175
"76","Hungry Heart","The River",1980,2,1.17647058823529
"77","Hunter of Invisible Game","High Hopes",2014,10,4.149377593361
"78","I'll Work for Your Love","Magic",2007,53,19.9248120300752
"79","I'm Goin' Down","Born in the U.S.A.",1984,-1,-0.409836065573771
"80","I'm on Fire","Born in the U.S.A.",1984,-12,-8
"81","I Wanna Marry You","The River",1980,16,5.51724137931035
"82","I Wish I Were Blind","Human Touch",1992,11,6.21468926553672
"83","I’ll See You in My Dreams","Letter to You",2020,17,8.71794871794872
"84","I’m a Rocker","The River",1980,5,1.87265917602996
"85","If I Should Fall Behind","Lucky Town",1992,13,7.47126436781609
"86","If I Was the Priest","Letter to You",2020,1,0.193423597678917
"87","Incident on 57th Street","The Wild, the Innocent & the E Street Shuffle",1973,17,3.25047801147228
"88","Independence Day","The River",1980,-1,-0.324675324675325
"89","Into the Fire","The Rising",2002,149,37.7215189873418
